ts,market,endpoint,ok,trials,p50_ms,p90_ms,max_ms,err
1788797115.829,closed,Bridge 8787,0,6,,,,<urlopen error [Errno 111] Connection refused>
1788797115.829,closed,Tradier REST,6,6,217.2,223.7,228.7,
1788797115.829,closed,tastytrade OAuth,6,6,502.1,531.5,544.2,
1788797115.829,closed,Webull balance,0,6,,,,no client factory in webull_options
1788797213.288,closed,Bridge 8787,,6,,,,unreachable from this shell — run health.py ON the PC where the bridge runs
1788797213.288,closed,Tradier REST,6,6,208.7,213.0,265.2,
1788797213.288,closed,tastytrade OAuth,6,6,509.9,558.8,559.9,
1788797213.288,closed,Webull balance,0,6,,,,'WebullOptions' object has no attribute 'balance'
1788797250.399,closed,Bridge 8787,,8,,,,unreachable from this shell — run health.py ON the PC where the bridge runs
1788797250.399,closed,Tradier REST,8,8,201.8,226.6,273.2,
1788797250.399,closed,tastytrade OAuth,8,8,564.5,671.4,691.8,
1788797250.399,closed,Webull buying power,0,8,,,,buying_power returned nothing
1788797297.009,closed,Bridge 8787,,8,,,,unreachable from this shell — run health.py ON the PC where the bridge runs
1788797297.009,closed,Tradier REST,8,8,215.2,227.7,382.3,
1788797297.009,closed,tastytrade OAuth,8,8,951.4,1043.4,1139.9,
1788797297.009,closed,Webull buying power,0,8,,,,"buying_power returned None — Webull would not say (throttled, or the account id could not be picked)"
1788797350.48,closed,Bridge 8787,,8,,,,unreachable from this shell — run health.py ON the PC where the bridge runs
1788797350.48,closed,Tradier REST,8,8,207.1,219.4,278.1,
1788797350.48,closed,tastytrade OAuth,8,8,893.6,1184.2,1441.7,
1788797350.48,closed,Webull connect+bal,0,8,,,,the Webull SDK isn't installed. Open START HERE in this folder - it installs what's missing and starts the bri
1788797404.384,closed,Bridge 8787,,10,,,,not reachable from this shell — run  python health.py  ON the PC where the bridge runs
1788797404.384,closed,Tradier REST,10,10,198.7,205.3,224.5,
1788797404.384,closed,tastytrade OAuth,10,10,568.5,798.7,848.8,
1788797404.384,closed,Webull connect+bal,,10,,,,not reachable from this shell — run  python health.py  ON the PC where the bridge runs
1788800695.728,closed,Bridge 8787,,6,,,,not reachable from this shell — run  python health.py  ON the PC where the bridge runs
1788800695.728,closed,Tradier REST,6,6,201.3,217.9,239.6,
1788800695.728,closed,tastytrade OAuth,6,6,713.8,791.1,919.3,
1788800695.728,closed,Webull connect+bal,,6,,,,not reachable from this shell — run  python health.py  ON the PC where the bridge runs
