date,time,channel_id,room,caller,symbol,side,strike,expiry,their_price,action,kind,source_file,line,text
2025-09-17,15:46:00,760694103401955378,Vero 2,Vero,QQQ,,,,,TRIM,option,grab 760694103401955378 Vero-2 2026-09-19.txt,7,QQQ TRIM 1/2 @ 1.29 @vero-alerts
2025-09-17,15:52:00,760694103401955378,Vero 2,@vero-alerts,QQQ,,,,,TRIM,option,grab 760694103401955378 Vero-2 2026-09-19.txt,8,QQQ TRIM @ 1.50 IN A RUNNER @vero-alerts
2025-09-17,15:55:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,9,QQQ OUT REST @vero-alerts
2025-09-18,09:50:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,7,QQQ OUT REST @vero-alerts
2025-09-18,10:10:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,9,SPY TRIM 1/2 @ 1.51 @vero-alerts
2025-09-18,10:11:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,10,SPY 55% PROFIT @vero-alerts
2025-09-18,10:15:00,1323708708374450247,Vero 1,Vero,SPY,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,11,SPY OUT @ 1.53 @vero-alerts
2025-09-18,10:23:00,1144369893760831489,Midas,👑KingBeeAri🐝,CMG,,,,,TRIM,option,grab 1144369893760831489 Midas 2026-09-19.txt,20,CMG down only -27% now @here
2025-09-19,09:51:00,1323708708374450247,Vero 1,Vero,SPY,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,14,SPY OUT @vero-alerts
2025-09-19,10:44:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,18,SPY TRIM 3/6 @ 1.22 @vero-alerts
2025-09-19,10:46:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,19,SPY TRIM 1/3 1.40 @vero-alerts
2025-09-19,10:47:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,20,SPY TRIM 1/2 @ 1.42 @vero-alerts
2025-09-19,11:00:00,1323708708374450247,Vero 1,Vero,SPY,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,21,SPY OUT LAST @ ENTRY @vero-alerts
2025-09-22,09:49:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,24,QQQ TRIM 1/3 @ 1.56 @vero-alerts
2025-09-22,09:55:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,25,QQQ TRIM 1/2 @ 1.77 SL @ ENTRY @vero-alerts
